reference,baseline_hyp,finetuned_hyp,llm_repaired,speech_status,gender,duration
right,All right.,write,write,healthy,female,2.145
I looked up and noticed two old men,I looked up and noticed two old men.,I looked up and noticed two old men,I looked up and noticed two old men,healthy,female,4.285
much,Thank you very much.,much,much,healthy,male,2.77
a,Ah!,up,up,healthy,male,3.15
lee,We.,leigh,leigh,healthy,male,1.2
absurd,absurd.,observed,observed,healthy,female,2.4
sticks,sticks,sticks,sticks,healthy,male,1.35
farm,form.,form,form,healthy,male,2.85
The job also covers a number of other items,The job also covers a number of other items.,The job also covers a number of other items,The job also covers a number of other items,healthy,female,3.834
three,No.,no,no,healthy,male,3.45
left,left,left,left,healthy,female,2.4
me,You,me,me,healthy,male,3
The golfing fathers ruled in his favor,The golfing father is ruled in his favor.,The golfing father is ruled in his favor,The golfing father is ruled in his favor,healthy,male,4.132
The prospect of cutting back spending is an unpleasant one for any governor,The prospect of cutting back spending is an unpleasant one for any governor.,The prospect of cutting back spending is an unpleasant one for any governor,The prospect of cutting back spending is an unpleasant one for any governor,healthy,female,6.405
seven,7,sevent,sevent,healthy,female,2.09
harm,R.,harm,harm,healthy,male,2.68
stubble,It's double.,"stubble,","stubble,",healthy,female,2.85
write,Right,write,write,healthy,female,1.78
cash,Cash.,cash,cash,healthy,male,2.1
air,air.,air,air,healthy,male,1.35
blend,Blend.,blend,blend,healthy,male,1.95
storm,Storm,storm,storm,healthy,female,2.48
know,No.,know,know,healthy,female,3.15
side,side.,side,side,healthy,male,1.695
him,him.,him and then there's a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of,him and then there's a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of,healthy,male,3.12
She doesn't like to have it hanging around,She doesn't like to have it hanging around.,She doesn't like to have it hanging around,She doesn't like to have it hanging around,healthy,female,4.2
Etiquette mandates compliance with existing regulations,Add a clear mandate compliance with existing regulations.,At a quiet mandates compliance with existing regulations,At a quiet mandates compliance with existing regulations,healthy,female,6.825
swarm,Whom?,swarm,swarm,healthy,male,4.05
dug,Dug.,dug,dug,healthy,female,1.6
bubble,Boom.,boat,boat,healthy,male,2.7
It was time to go up myself,It was time to go up myself.,It was time to go up myself,It was time to go up myself,healthy,female,3.6
shred,Shredd.,tread,tread,healthy,male,1.8
Gold can be found anywhere,Gold can be found anywhere.,Gold can be found anywhere,Gold can be found anywhere,healthy,female,3.9
teach,Teach.,teach,teach,healthy,female,2.4
hate,8,hate,hate,healthy,female,3.15
add,had.,had,had,healthy,male,1.713
sleep,Sleep.,sleep,sleep,healthy,male,1.35
pot,part.,pott,pott,healthy,male,1.5
had,had,had,had,healthy,female,2.4
The books are very expensive,The books are very expensive.,The books are very expensive,The books are very expensive,healthy,female,4.2
An official deadline cannot be postponed,An official deadline cannot be postponed.,An official deadline cannot be postponed,An official deadline cannot be postponed,healthy,female,4.5
dug,Dug.,dug,dug,healthy,female,3
seed,Seed.,seed,seed,healthy,male,3
farm,Farm.,farm,farm,healthy,female,1.35
four,Four.,four,four,healthy,male,1.35
yet he still thinks as swiftly as ever,Yet he still thinks as swiftly as ever.,Yet he still thinks as swiftly as ever,Yet he still thinks as swiftly as ever,healthy,male,4.465
beam,Beam!,beam,beam,healthy,female,1.91
She doesn't like to have it hanging around,She doesn't like to have it hanging around.,She doesn't like to have it hanging around,She doesn't like to have it hanging around,healthy,female,3.76
ape,HATE.,ape,ape,healthy,male,1.2
A good attitude is unbeatable,A good attitude is unbearable.,A good attitude is unbeatable,A good attitude is unbeatable,healthy,female,4.2
storm,Storm,"storm,","storm,",healthy,male,1.805
floor,floor.,floor,floor,healthy,male,2.85
mere,Meer,mear,mear,healthy,male,3.15
sheet,Sheet.,sheet,sheet,healthy,male,2.1
hem,and,m,m,healthy,male,1.42
He took me out one day,He took me out one day.,He took me out one day,He took me out one day,healthy,female,3.15
share,Share.,share,share,healthy,male,1.44
red,Red,red,red,healthy,male,2.1
bitten,Bitten.,bitton,bitton,healthy,male,3.75
timber,Timber.,timba,timba,healthy,male,1.843
sway,Sweet.,sweigh,sweigh,healthy,male,3.45
that,That.,that,that,healthy,male,1.5
The structures housing the apartments are of masonry and frame construction,"The structures, housing, the apartments, are of masonry and frame construction.",The structures housing the apartments are of masonry and frame construction,The structures housing the apartments are of masonry and frame construction,healthy,female,6.173
sell,cell,sell,sell,healthy,male,1.24
sail,See you.,sale,sale,healthy,male,1.8
go,Go.,go,go,healthy,male,2.195
lima,Bye-bye.,lima,lima,healthy,female,2.01
are,R.,r,r,healthy,female,2.24
pad,Cut.,pad,pad,healthy,male,3.07
blow,Hello.,blow,blow,healthy,female,1.35
dark,Dark,dark,dark,healthy,male,1.745
sew,So,sew,sew,healthy,female,2.385
rock,Rock.,rock,rock,healthy,female,2.03
train,Crane.,train,train,healthy,male,2.1
They received all the things they needed,They received all the things they needed.,They received all the things they needed,They received all the things they needed,healthy,male,4.35
Did dad do academic bidding,Did that do academic bidding?,Did dad do academic bidding?,Did dad do academic bidding?,healthy,male,3.9
bun,BUN!,bun,bun,healthy,male,3
knee,Me.,neigh,neigh,healthy,male,2.845
The little girls cut lacy valentines,The low-rolls cut lacy valentines.,The lower girls cut lacy valentines,The lower girls cut lacy valentines,healthy,male,3.255
Both injuries were to the same leg,Both injuries were to the same leg.,Both injuries were to the same leg,Both injuries were to the same leg,healthy,male,2.865
bill,Bill.,bill,bill,healthy,male,1.95
leak,leak,leak,leak,healthy,female,1.532
Biblical scholars argue history,Biblical scholars argue history.,"Biblical scholars argue history,","Biblical scholars argue history,",healthy,male,3.9
knock,Knock.,knock,knock,healthy,female,2.4
Gently place Jim's foam sculpture in the box,Gently place gyms foam sculpture in the box.,Gently place Jim's foam sculpture in the box,Gently place Jim's foam sculpture in the box,healthy,female,4.55
hall,Hall.,hall,hall,healthy,female,2.4
You want him to do well,You're working to do well.,You want him to do well,You want him to do well,healthy,male,3.57
Ned,That's it.,ned,ned,healthy,male,2.63
This is not a program of socialized medicine,This is not a program of socialized medicine.,This is not a program of socialized medicine,This is not a program of socialized medicine,healthy,female,5.46
yankee,Thank you.,"Yankee,","Yankee,",healthy,female,1.625
bit,That.,bit,bit,healthy,female,3.15
cash,Cache.,cash,cash,healthy,male,1.765
nice,Nice!,nice,nice,healthy,female,1.895
Get a calico cat to keep,Get a calico cat to keep.,Get a calico cat to keep,Get a calico cat to keep,healthy,male,3.167
wicker,Wicker.,wicker,wicker,healthy,male,1.713
nine,Nine.,9,9,healthy,male,1.2
wax,wax,wax,wax,healthy,female,2.255
sierra,Sierra.,seera,seera,healthy,male,1.35
sip,SIP,sip,sip,healthy,female,2.17
bow ,Tau!,bough,bough,healthy,female,2.585
near,near,near,near,healthy,female,1.805
play,play,play,play,healthy,male,1.5
is,It is.,is,is,healthy,male,3.15
spark,Spark!,spark,spark,healthy,female,2.7
chip,CHIP!,chip,chip,healthy,male,2.073
rest,REST!,rest,rest,healthy,male,1.765
store,store.,store,store,healthy,male,1.95
pit,Pit.,pitt,pitt,healthy,male,1.209
two,2,two,two,healthy,female,1.73
booth,Boosh.,booth,booth,healthy,female,2.25
Help celebrate your brother's success,Help celebrate your brother's success.,Help celebrate your brother's success,Help celebrate your brother's success,healthy,female,3.15
We just didn't look good,We just didn't look good.,We just didn't look good,We just didn't look good,healthy,male,2.25
Only two seemed really appealing to me,Only two seem really appealing to me.,Only two seemed really appealing to me,Only two seemed really appealing to me,healthy,female,4.05
sigh,Bye!,sie,sie,healthy,male,1.5
eight,A.,ape,ape,healthy,female,2.1
reserve,Reserved.,reserved 」,reserved 」,healthy,female,2.55
Their house is grey and white,Their house is grey and white.,Their house is grey and white,Their house is grey and white,healthy,male,2.81
The pair of shoes was new,The pair of shoes with me.,The pair of shoes was new,The pair of shoes was new,healthy,male,2.555
The misguided souls have lost their way,The misguided souls have lost their way.,The misguided souls have lost their way,The misguided souls have lost their way,healthy,female,4.325
stubble,Kabul.,stubble,stubble,healthy,male,2.1
Nothing is offensive as innocense,Nothing is offensive as innocent.,Nothing is offensive as innocence,Nothing is offensive as innocence,healthy,male,4.95
row,Role!,roat,roat,healthy,male,3.6
grave,Grave.,"grave,","grave,",healthy,female,2.7
tap,Ta-da!,tap,tap,healthy,female,1.87
I loved every minute of it,I loved every minute of it.,I loved every minute of it,I loved every minute of it,healthy,male,2.4
reap,Reap.,reep,reep,healthy,male,3.45
bat,bad,bat,bat,healthy,male,1.5
cork,Quark.,quark,quark,healthy,female,1.5
The marriage went well from the start,The marriage went well from this start.,"The marriage went well from the start,","The marriage went well from the start,",healthy,male,3.81
sign,Sign.,sign,sign,healthy,male,2.72
up,up,up,up,healthy,male,2.25
rage,Rage.,rage,rage,healthy,female,2.555
threat,The threat.,threat,threat,healthy,female,1.77
dug,That's it.,tug,tug,healthy,male,2.58
That pickpocket was caught redhanded,That pick pocket was caught right handed.,That pickpocket was caught red handed,That pickpocket was caught red handed,healthy,male,3.15
ship,SHIT!,ship,ship,healthy,male,1.35
The museum hires musicians every evening,The museum hires musicians every evening.,The museum hires musicians every evening,The museum hires musicians every evening,healthy,female,4.95
fork,Fork.,fork,fork,healthy,male,3.15
thread,Great!,thread,thread,healthy,male,2.1
write,Right.,write,write,healthy,male,2.55
tall,Paul.,tall,tall,healthy,male,2.4
sort,Start.,sort,sort,healthy,female,1.35
Catastrophic economic cutbacks neglect the poor,Catastrophic economic cutbacks neglect the poor.,Catastrophic economic cutbacks neglect the poor,Catastrophic economic cutbacks neglect the poor,healthy,male,4.05
There is a treehouse up above,There is a tree house up above.,There is a treehouse up above,There is a treehouse up above,healthy,male,4.4
There was only one decision to be made,There was only one decision to be made.,There was only one decision to be made,There was only one decision to be made,healthy,male,4.2
A fire in straw makes a quick blaze,A fire in straw makes a quick breeze.,A fire in straw makes a quick blaze,A fire in straw makes a quick blaze,healthy,male,3.614
bitten,Bitton.,bitten,bitten,healthy,male,1.5
It also provides for funds to clear slums and help colleges build dormitories,It also provides for funds to clear slums and help college build dormitories.,It also provides for funds to clear slums and help college build dormitories,It also provides for funds to clear slums and help college build dormitories,healthy,female,7.95
seed,Seed,seed,seed,healthy,female,2
cheese,cheese.,cheese,cheese,healthy,male,1.35
The little schoolhouse stood empty,The little school house stood empty.,The little schoolhouse stood empty,The little schoolhouse stood empty,healthy,female,4.2
rain,Green,grain,grain,healthy,female,1.95
Most young rise early every morning,Most young rise early every morning.,Most young rise early every morning,Most young rise early every morning,healthy,male,3.45
yes,Yes.,yes,yes,healthy,female,2.135
white,White.,white,white,healthy,male,2.85
snoop,Snoop.,snoop,snoop,healthy,male,1.75
though,See you then.,though,though,healthy,male,1.515
knock,Not,knock,knock,healthy,female,2.115
I was conscious all the time,I was conscious all the time.,I was conscious all the time,I was conscious all the time,healthy,female,4.8
rocks,Rock.,rocks,rocks,healthy,female,3
Critical equipment needs proper maintenance,Critical equipment needs proper maintenance.,"Critical equipment needs proper maintenance,","Critical equipment needs proper maintenance,",healthy,male,4.262
ladle,Later.,ladyle,ladyle,healthy,female,2.4
slip,Flip.,slip,slip,healthy,female,3.9
bit,bit.,bit,bit,healthy,male,3.9
Coconut cream pie makes a nice dessert,Coconut cream pie makes a nice dessert.,Coken a cream pie makes a nice dessert,Coken a cream pie makes a nice dessert,healthy,male,4.362
The museum hires musicians every evening,The Museum hires musicians every evening.,"The museum hires musicians every evening,","The museum hires musicians every evening,",healthy,male,5.15
him,Him.,him,him,healthy,male,1.5
select,Select.,select,select,healthy,male,2.975
leak,week,leak,leak,healthy,male,3.15
dagger,Dagger.,dagger,dagger,healthy,male,2.13
center,Center.,center_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_art,center_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_article_art,healthy,female,1.35
know,No.,no for a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit,no for a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit,healthy,female,3.375
wise,Wife,"wise,","wise,",healthy,female,1.995
he slowly takes a short walk in the open air each day,He slowly takes a short walk in the open air each day.,He slowly takes a short walk in the open air each day,He slowly takes a short walk in the open air each day,healthy,female,6.6
no,No.,know,know,healthy,male,2.33
Both injuries were to the same leg,both injuries were for the back of her.,Both injuries were for the back of her,Both injuries were for the back of her,healthy,male,3.9
four,Fuller,floor,floor,healthy,female,1.875
eight,E,ate,ate,healthy,male,2.85
He really crucified him he nailed it for a yard loss,"He really crucified him, he nailed it for a yard loss.","He really crucified him, he nailed it for a yard loss","He really crucified him, he nailed it for a yard loss",healthy,male,4.8
Primitive tribes have an upbeat attitude,Permanent of tribes have an upbeat attitude.,Permitive tribes have an upbeat attitude,Permitive tribes have an upbeat attitude,healthy,female,4.65
fork,Fork.,fork,fork,healthy,male,2.7
spit,Spit.,spit,spit,healthy,male,1.95
jacket,Jacket.,jacket,jacket,healthy,male,2.845
witch,Which?,witch,witch,healthy,male,2.63
It was a good win for us,It was a good win for us.,It was a good win for us,It was a good win for us,healthy,male,4.05
Handle it any way you have to,And all it anyway you have to.,Handle it any way you have to,Handle it any way you have to,healthy,male,4.54
spit,Bye!,spit,spit,healthy,female,2.25
port,point,port,port,healthy,female,1.95
feet,Feet,feet,feet,healthy,female,1.695
one,One,one,one,healthy,male,2.554
warm,warm,warm,warm,healthy,female,3
zero,Zero.,zero,zero,healthy,male,3.15
left,Left.,left,left,healthy,male,1.35
back,Back.,back,back,healthy,male,1.65
dot,God.,dot,dot,healthy,male,3
I feel I can play this weekend,I feel I can play this weekend.,I feel I can play this weekend,I feel I can play this weekend,healthy,male,3
shell,Shell!,shell,shell,healthy,male,1.59
geese,Please.,geese,geese,healthy,female,2.25
Elderly people are often excluded,Elderly people are often excluded.,Elderly people are often excluded,Elderly people are often excluded,healthy,male,3
That's what life is really all about,That's what life is really all about.,That's what life is really all about,That's what life is really all about,healthy,male,3.15
A fire in straw makes a quick blaze,A fire in straw makes a quick blaze.,A fire in straw makes a quick blaze,A fire in straw makes a quick blaze,healthy,male,4.236
cash,Cash.,cash,cash,healthy,male,2.42
blow,below.,blow,blow,healthy,female,2.25
rattle,Rado.,rattle,rattle,healthy,female,2.13
He will allow a rare lie,You will allow a rare lie.,He will allow a rare lie,He will allow a rare lie,healthy,male,3.75
lend,Land.,lend,lend,healthy,female,1.655
nest,Nest.,nest,nest,healthy,female,2.235
The box contained three sweaters,The box contains three sweaters.,The box contained three sweaters,The box contained three sweaters,healthy,male,2.85
geese,geese,geese,geese,healthy,male,1.958
rate,Great!,rate,rate,healthy,male,2.25
rock,Rock.,rock,rock,healthy,male,1.857
said,said.,said,said,healthy,male,2.1
left,left,left,left,healthy,female,1.8
nut,NAH,knut,knut,healthy,female,1.99
mut,MUT!,mutt,mutt,healthy,male,1.65
tear ,Care.,terre,terre,healthy,female,3.45
he dresses himself in an ancient black frock coat,He dresses himself in an ancient black frog coat.,He dresses himself in an ancient black frock coat,He dresses himself in an ancient black frock coat,healthy,female,5.4
quicker,Picker.,ficker,ficker,healthy,male,1.6
Luke,Look.,hook,hook,healthy,male,2.36
shot,Shot!,shot,shot,healthy,female,1.975
bear,Bear.,bear,bear,healthy,male,1.47
yes,Yes.,yes,yes,healthy,male,1.915
bust,PAST,bust,bust,healthy,female,2.195
Now I'm living exactly as I choose,Now I'm living exactly as I choose.,Nam I'm living exactly as I choose,Nam I'm living exactly as I choose,healthy,male,3.571
menu,Thank you.,menu,menu,healthy,male,1.5
chop,Chop.,chop,chop,healthy,male,1.35
meat,Meek.,meat,meat,healthy,female,2.85
Most young rise early every morning,Most young rise early every morning.,Most young rise early every morning,Most young rise early every morning,healthy,male,5.25
Fill that canteen with fresh spring water,Fill that canteen with fresh spring water.,Fill that canteen with fresh spring water,Fill that canteen with fresh spring water,healthy,female,4.005
shell,Shell.,shell,shell,healthy,female,1.65
beat,Beep.,"beat,","beat,",healthy,female,3.525
witty,WETY!,witty,witty,healthy,male,1.455
She had your dark suit in greasy wash water all year,She had your dark suit in greasy washwater all year.,"She had your dark suit in greasy washwater all year,","She had your dark suit in greasy washwater all year,",healthy,male,4.25
You have to expect a few bad calls,You have to expect a few bad calls.,You have to expect a few bad calls,You have to expect a few bad calls,healthy,male,4.04
feet,Beek!,feat,feat,healthy,female,2.25
cake,cake,cake,cake,healthy,male,2.55
It was a huge part of my life,It was a huge part of my life.,"It was a huge part of my life,","It was a huge part of my life,",healthy,male,3.9
hash,hash,hash,hash,healthy,female,2.25
peas,Peace.,peas,peas,healthy,male,2.79
chair,Chira.,chair-er,chair-er,healthy,female,3.21
hill,Hill.,hill,hill,healthy,male,1.65
I don't think it's a good idea,I don't think it's a good idea.,I don't think it's a good idea,I don't think it's a good idea,healthy,male,3.78
harm,harm.,harm,harm,healthy,female,2.7
jagged,Jai Good!,jagged,jagged,healthy,female,3.6
sergeant,Surgeoned.,surgent,surgent,healthy,male,1.65
see,See.,see,see,healthy,male,1.5
spit,Spit!,spit,spit,healthy,female,2.03
lit,Let's go.,lip,lip,healthy,male,2.91
him,Him.,him,him,healthy,male,1.59
